Date/Time,Word Count,en,ru
2024.05.21-21.16.07,0,0,0
2024.05.21-21.20.11,36,36,0
2024.05.21-21.24.49,22,22,0
2024.05.21-21.26.46,19,19,0
2024.05.21-21.40.55,18,18,16
2024.05.21-21.41.54,18,18,18
2024.05.22-01.56.43,19,19,18
2024.05.22-02.00.37,19,19,19
2024.05.22-03.10.08,16,16,15
2024.05.22-03.11.06,16,16,16
2024.05.22-04.17.34,19,19,16
2024.05.22-04.21.45,19,19,18
2024.05.22-04.22.35,19,19,19
2024.05.23-03.54.32,23,23,19
2024.05.23-03.56.22,23,23,23
2024.05.30-15.17.50,27,27,23
2024.05.30-15.19.05,27,27,27
